id,文本
0,平均相貌知乎就有谢谢，东南亚人是高颧骨但岭南人不是，华东人同样也是低颧骨，但华北人是高颧骨，您在这觉得华北人是汉人主体还是华东人是汉人主体？北方蒙古、鲜卑带来的高颧骨被你扣到岭南人身上且不论，被外族血统入侵过的华北你拿来当汉人正统岂不可笑？
1,激情成人
2,"“停止仇恨亚太裔美国人”组织报告，自2020年以来，该组织至少收到3795起针对亚裔的事件投诉，仅在1月1日至2月28日之间，就报告了至少503起仇恨亚裔事件。,2020年针对亚裔的犯罪案件数上升了近150%。近日，"
3,苏家屯地下集中营
4,生活就像强奸的节奏吗！……&amp;…………我饿了，怎么办呢？我会受伤的，为什么黑人跑的那么快，因为，因为，因为，他饿了！
5,访民
6,中国驻墨西哥大使馆：FLG是极端反华、破坏中墨关系的政治组织-搜狐FLG又称“法轮大法”，于20世纪90年代初起源于中国，创始人是李洪志。FLG编造和宣扬反人类、反科学的歪理邪说，对信徒实施极端精神控制，是严重危害社会、...
7,限制级特工
8,端起碗吃饭，放下碗骂娘，把女权当妈了，别理它们
9,干小姨子小穴
10,瓶反鹿死
11,情色论坛
12,有时深感男人在某种程度上成为女人的拖累，女人本可以更精彩，无论是生理上，还是情志上。
13,藏独立
14,陆④事件
15,可是我就是觉得黑人大多长得丑，而且我也歧视黑人
16,不是我黑东北人，不是我地狱黑，听见东北口音的人，我一般都爱搭不理。更别说什么宝洁了，一开口我就给她轰出去。
17,深爱色色
18,奸淫
19,我和图一投稿的姐妹一个民族，虽然说不能以偏概全叭，但是说真的我感觉我们民族大部分人（尤其是长辈）思想都停留在上个世纪。就算是现在的新时代青年，大多都是女孩子思想更加开放，因为她们都想改变这种局面。和我们一般大的男孩子，一开始即便没用这种重男轻女的男权观念，也会被家里的氛围带跑偏。
20,"基于外表的刻板印象(SA)o比呢，辔还没打完？赶紧看看你老母吧，都搁臭了,今晚先死个老母,老子明日继续问候基于外表的刻板印象(SA)o比，连带它家族深层扒皮，老子就不信这玩意儿能是个人？最后 一炷香上给她刚刚过世的老母"
21,那只能怪张学良太废物了，怪不了东北人。解放战争，林彪四野横扫天下。别的不谈，东北人干架那是真猛，真干，狠。跟我们南方打架嘴炮真不一样。妈蛋我在老家打架就是人对骂，在东北那可真是一言不合直接开干。你瞅啥？
22,怎么都扭扭捏捏的呢，直接说呗，我就是讨厌黑人怎么了？
23,89年的那件大事
24,唐荆陵绝食
25,六四 邓小平
26,六四戒严
27,如何匿名发送垃圾邮件？
28,宁波工程学院黑人强奸案怎么判？
29,淫荡妖艳女医生
30,微侵犯(MA)s基于外表的刻板印象(SA)cretiananmen
31,成人午夜场影院
32,哈哈哈自己都是爸妈结婚生的，口口声声婚驴，为大家争取权力没问题，有些观点真不能苟同，打着女权名号，满嘴的自私
33,一开始很担心被地域黑 说什么四川的是小偷，不过放钱了 吧情节变得更好看也不回把人物写差
34,毛卖党求荣
35,我希望自己的老公去世可以赔钱养家
36,中国女性不存在处境问题，而是生活环境烂透了。
37,中俄边界
38,我也讨厌一些没钱装大逼的上海人(通常还比较小气 刻薄)
39,壮阳药
